time,Elbe
1900-01-31,585.031982422
1900-02-28,1396.17895508
1900-03-31,1780.64501953
1900-04-30,1879.40002441
1900-05-31,943.773986816
1900-06-30,755.200012207
1900-07-31,604.710021973
1900-08-31,383.742004395
1900-09-30,298.700012207
1900-10-31,305.128997803
1900-11-30,403.632995605
1900-12-31,608.096984863
1901-01-31,400.644989014
1901-02-28,577.536010742
1901-03-31,1376.67700195
1901-04-30,1481.69995117
1901-05-31,787.515991211
1901-06-30,502.799987793
1901-07-31,385.355010986
1901-08-31,487.936004639
1901-09-30,323.733001709
1901-10-31,497.936004639
1901-11-30,442.5
1901-12-31,804.354980469
1902-01-31,1188.38696289
1902-02-28,848.286010742
1902-03-31,838.452026367
1902-04-30,1039.96704102
1902-05-31,708.031982422
1902-06-30,633.333007812
1902-07-31,485.290008545
1902-08-31,405.871002197
1902-09-30,415.632995605
1902-10-31,399.032012939
1902-11-30,338.766998291
1902-12-31,365.322998047
1903-01-31,939.354980469
1903-02-28,762.356994629
1903-03-31,771.612976074
1903-04-30,631.299987793
1903-05-31,660.064025879
1903-06-30,384.967010498
1903-07-31,316.677001953
1903-08-31,365.709991455
1903-09-30,334.967010498
1903-10-31,465.45199585
1903-11-30,534.367004395
1903-12-31,913.935974121
1904-01-31,515.484008789
1904-02-29,783.585998535
1904-03-31,983.289978027
1904-04-30,928.432983398
1904-05-31,633.903015137
1904-06-30,432.266998291
1904-07-31,224.0
1904-08-31,150.354995728
1904-09-30,150.932998657
1904-10-31,205.097000122
1904-11-30,386.166992188
1904-12-31,517.903015137
1905-01-31,388.742004395
1905-02-28,796.713989258
1905-03-31,1011.77398682
1905-04-30,1188.13305664
1905-05-31,847.387023926
1905-06-30,464.266998291
1905-07-31,328.967987061
1905-08-31,480.096984863
1905-09-30,480.5
1905-10-31,855.289978027
1905-11-30,963.700012207
1905-12-31,823.161010742
1906-01-31,893.773986816
1906-02-28,768.393005371
1906-03-31,1518.03198242
1906-04-30,1078.23303223
1906-05-31,686.193969727
1906-06-30,673.53302002
1906-07-31,638.452026367
1906-08-31,404.322998047
1906-09-30,451.166992188
1906-10-31,901.289978027
1906-11-30,482.066986084
1906-12-31,645.419006348
1907-01-31,885.322998047
1907-02-28,799.5
1907-03-31,1244.61303711
1907-04-30,1480.80004883
1907-05-31,986.289978027
1907-06-30,530.833007812
1907-07-31,855.096984863
1907-08-31,571.710021973
1907-09-30,483.532989502
1907-10-31,423.54800415
1907-11-30,354.600006104
1907-12-31,540.387023926
1908-01-31,534.612976074
1908-02-29,809.585998535
1908-03-31,1107.29003906
1908-04-30,1149.59997559
1908-05-31,915.773986816
1908-06-30,672.599975586
1908-07-31,385.257995605
1908-08-31,363.515991211
1908-09-30,360.0
1908-10-31,280.484008789
1908-11-30,244.699996948
1908-12-31,277.386993408
1909-01-31,320.54800415
1909-02-28,506.928985596
1909-03-31,738.0
1909-04-30,1307.40002441
1909-05-31,720.12902832
1909-06-30,413.733001709
1909-07-31,730.87097168
1909-08-31,405.128997803
1909-09-30,326.666992188
1909-10-31,418.613006592
1909-11-30,383.566986084
1909-12-31,796.742004395
1910-01-31,1143.54797363
1910-02-28,827.429016113
1910-03-31,865.645019531
1910-04-30,605.432983398
1910-05-31,845.612976074
1910-06-30,490.833007812
1910-07-31,642.257995605
1910-08-31,551.161010742
1910-09-30,795.632995605
1910-10-31,717.547973633
1910-11-30,794.299987793
1910-12-31,1126.77404785
1911-01-31,880.031982422
1911-02-28,896.0
1911-03-31,1378.83898926
1911-04-30,932.166992188
1911-05-31,653.547973633
1911-06-30,400.833007812
1911-07-31,217.194000244
1911-08-31,139.774002075
1911-09-30,131.632995605
1911-10-31,185.613006592
1911-11-30,185.300003052
1911-12-31,217.128997803
1912-01-31,508.322998047
1912-02-29,576.104003906
1912-03-31,808.677001953
1912-04-30,619.333007812
1912-05-31,360.871002197
1912-06-30,385.933013916
1912-07-31,430.322998047
1912-08-31,465.419006348
1912-09-30,730.799987793
1912-10-31,552.612976074
1912-11-30,753.299987793
1912-12-31,785.903015137
1913-01-31,787.645019531
1913-02-28,933.320983887
1913-03-31,658.257995605
1913-04-30,718.900024414
1913-05-31,452.45199585
1913-06-30,330.833007812
1913-07-31,445.742004395
1913-08-31,457.290008545
1913-09-30,390.566986084
1913-10-31,326.063995361
1913-11-30,304.967010498
1913-12-31,810.612976074
1914-01-31,647.096984863
1914-02-28,575.0
1914-03-31,1488.58105469
1914-04-30,943.867004395
1914-05-31,517.419006348
1914-06-30,519.132995605
1914-07-31,521.226013184
1914-08-31,483.838989258
1914-09-30,293.066986084
1914-10-31,449.128997803
1914-11-30,452.5
1914-12-31,498.805999756
1915-01-31,1135.80603027
1915-02-28,878.143005371
1915-03-31,1716.0970459
1915-04-30,1332.69995117
1915-05-31,1020.06402588
1915-06-30,336.399993896
1915-07-31,280.128997803
1915-08-31,355.936004639
1915-09-30,476.799987793
1915-10-31,1049.25805664
1915-11-30,683.46697998
1915-12-31,1157.9029541
1916-01-31,1704.9029541
1916-02-29,1321.2409668
1916-03-31,1428.06494141
1916-04-30,952.599975586
1916-05-31,570.773986816
1916-06-30,573.767028809
1916-07-31,706.935974121
1916-08-31,439.709991455
1916-09-30,454.867004395
1916-10-31,460.838989258
1916-11-30,430.433013916
1916-12-31,544.87097168
1917-01-31,1445.93505859
1917-02-28,611.143005371
1917-03-31,1069.51599121
1917-04-30,1634.46704102
1917-05-31,1218.64501953
1917-06-30,432.933013916
1917-07-31,238.225997925
1917-08-31,236.257995605
1917-09-30,225.832992554
1917-10-31,253.097000122
1917-11-30,306.333007812
1917-12-31,341.936004639
1918-01-31,610.096984863
1918-02-28,867.463989258
1918-03-31,757.806030273
1918-04-30,500.967010498
1918-05-31,397.484008789
1918-06-30,189.199996948
1918-07-31,352.45199585
1918-08-31,248.805999756
1918-09-30,272.867004395
1918-10-31,304.580993652
1918-11-30,308.799987793
1918-12-31,482.419006348
1919-01-31,902.838989258
1919-02-28,486.178985596
1919-03-31,869.064025879
1919-04-30,1053.9329834
1919-05-31,654.773986816
1919-06-30,292.600006104
1919-07-31,484.838989258
1919-08-31,279.936004639
1919-09-30,193.766998291
1919-10-31,271.45199585
1919-11-30,472.367004395
1919-12-31,1392.06494141
1920-01-31,2107.0
1920-02-29,1542.0
1920-03-31,940.0
1920-04-30,844.0
1920-05-31,887.0
1920-06-30,574.0
1920-07-31,418.0
1920-08-31,277.0
1920-09-30,600.0
1920-10-31,370.0
1920-11-30,269.0
1920-12-31,358.0
1921-01-31,735.0
1921-02-28,1182.0
1921-03-31,700.0
1921-04-30,489.0
1921-05-31,418.0
1921-06-30,335.0
1921-07-31,256.0
1921-08-31,173.0
1921-09-30,157.0
1921-10-31,163.0
1921-11-30,242.0
1921-12-31,251.0
1922-01-31,636.0
1922-02-28,488.0
1922-03-31,1125.0
1922-04-30,1133.0
1922-05-31,672.0
1922-06-30,277.0
1922-07-31,264.0
1922-08-31,405.0
1922-09-30,448.0
1922-10-31,877.0
1922-11-30,719.0
1922-12-31,1276.0
1923-01-31,1096.0
1923-02-28,1688.0
1923-03-31,1119.0
1923-04-30,900.0
1923-05-31,722.0
1923-06-30,637.0
1923-07-31,499.0
1923-08-31,271.0
1923-09-30,224.0
1923-10-31,456.0
1923-11-30,544.0
1923-12-31,561.0
1924-01-31,544.0
1924-02-29,679.0
1924-03-31,659.0
1924-04-30,1473.0
1924-05-31,1021.0
1924-06-30,692.0
1924-07-31,405.0
1924-08-31,488.0
1924-09-30,699.0
1924-10-31,490.0
1924-11-30,563.0
1924-12-31,439.0
1925-01-31,441.0
1925-02-28,651.0
1925-03-31,597.0
1925-04-30,807.0
1925-05-31,681.0
1925-06-30,320.0
1925-07-31,290.0
1925-08-31,454.0
1925-09-30,682.0
1925-10-31,534.0
1925-11-30,594.0
1925-12-31,478.0
1926-01-31,1439.0
1926-02-28,1133.0
1926-03-31,1573.0
1926-04-30,790.0
1926-05-31,489.0
1926-06-30,1513.0
1926-07-31,1886.0
1926-08-31,1281.0
1926-09-30,579.0
1926-10-31,565.0
1926-11-30,720.0
1926-12-31,791.0
1927-01-31,1420.0
1927-02-28,950.0
1927-03-31,878.0
1927-04-30,1568.0
1927-05-31,1079.0
1927-06-30,614.0
1927-07-31,719.0
1927-08-31,630.0
1927-09-30,560.0
1927-10-31,550.0
1927-11-30,548.0
1927-12-31,474.0
1928-01-31,917.0
1928-02-29,1045.0
1928-03-31,736.0
1928-04-30,1016.0
1928-05-31,811.0
1928-06-30,649.0
1928-07-31,315.0
1928-08-31,239.0
1928-09-30,234.0
1928-10-31,299.0
1928-11-30,378.0
1928-12-31,583.0
1929-01-31,418.0
1929-02-28,358.0
1929-03-31,858.0
1929-04-30,1286.0
1929-05-31,642.0
1929-06-30,441.0
1929-07-31,327.0
1929-08-31,242.0
1929-09-30,202.0
1929-10-31,232.0
1929-11-30,296.0
1929-12-31,366.0
1930-01-31,476.0
1930-02-28,346.0
1930-03-31,336.0
1930-04-30,597.0
1930-05-31,676.0
1930-06-30,422.0
1930-07-31,237.0
1930-08-31,397.0
1930-09-30,335.0
1930-10-31,569.0
1930-11-30,1256.0
1930-12-31,1135.0
1931-01-31,847.0
1931-02-28,753.0
1931-03-31,1022.0
1931-04-30,978.0
1931-05-31,836.0
1931-06-30,475.0
1931-07-31,452.0
1931-08-31,355.0
1931-09-30,556.0
1931-10-31,660.0
1931-11-30,547.0
1931-12-31,523.0
1932-01-31,1214.0
1932-02-29,536.0
1932-03-31,405.0
1932-04-30,599.0
1932-05-31,479.0
1932-06-30,932.0
1932-07-31,654.0
1932-08-31,500.0
1932-09-30,311.0
1932-10-31,338.0
1932-11-30,498.0
1932-12-31,432.0
1933-01-31,370.0
1933-02-28,711.0
1933-03-31,686.0
1933-04-30,524.0
1933-05-31,366.0
1933-06-30,328.0
1933-07-31,418.0
1933-08-31,296.0
1933-09-30,246.0
1933-10-31,236.0
1933-11-30,308.532989502
1933-12-31,256.580993652
1934-01-31,365.194000244
1934-02-28,383.178985596
1934-03-31,671.742004395
1934-04-30,570.932983398
1934-05-31,307.355010986
1934-06-30,174.867004395
1934-07-31,162.419006348
1934-08-31,159.160995483
1934-09-30,177.899993896
1934-10-31,227.128997803
1934-11-30,335.0
1934-12-31,401.0
1935-01-31,399.0
1935-02-28,750.0
1935-03-31,906.0
1935-04-30,1097.0
1935-05-31,858.0
1935-06-30,495.0
1935-07-31,245.0
1935-08-31,205.0
1935-09-30,209.0
1935-10-31,243.0
1935-11-30,479.0
1935-12-31,439.0
1936-01-31,570.0
1936-02-29,625.0
1936-03-31,731.0
1936-04-30,535.0
1936-05-31,666.0
1936-06-30,676.0
1936-07-31,432.0
1936-08-31,382.0
1936-09-30,304.0
1936-10-31,341.0
1936-11-30,547.0
1936-12-31,516.0
1937-01-31,507.0
1937-02-28,814.0
1937-03-31,1572.0
1937-04-30,1217.0
1937-05-31,958.0
1937-06-30,431.0
1937-07-31,527.0
1937-08-31,385.0
1937-09-30,464.0
1937-10-31,492.0
1937-11-30,395.0
1937-12-31,458.0
1938-01-31,990.0
1938-02-28,1288.0
1938-03-31,1024.0
1938-04-30,736.0
1938-05-31,530.0
1938-06-30,570.0
1938-07-31,342.0
1938-08-31,293.0
1938-09-30,1048.0
1938-10-31,471.0
1938-11-30,514.0
1938-12-31,453.0
1939-01-31,833.0
1939-02-28,836.0
1939-03-31,875.0
1939-04-30,1277.0
1939-05-31,832.0
1939-06-30,786.0
1939-07-31,684.0
1939-08-31,581.0
1939-09-30,555.0
1939-10-31,784.0
1939-11-30,1221.0
1939-12-31,2017.0
1940-01-31,677.0
1940-02-29,451.0
1940-03-31,1929.0
1940-04-30,2058.0
1940-05-31,885.0
1940-06-30,701.0
1940-07-31,660.0
1940-08-31,714.0
1940-09-30,910.0
1940-10-31,821.0
1940-11-30,1324.0
1940-12-31,732.0
1941-01-31,869.0
1941-02-28,1618.0
1941-03-31,2340.0
1941-04-30,2279.0
1941-05-31,1608.0
1941-06-30,1557.0
1941-07-31,658.0
1941-08-31,713.0
1941-09-30,892.0
1941-10-31,1078.0
1941-11-30,1498.0
1941-12-31,1240.0
1942-01-31,1045.0
1942-02-28,497.0
1942-03-31,993.0
1942-04-30,1763.0
1942-05-31,877.0
1942-06-30,575.0
1942-07-31,437.0
1942-08-31,451.0
1942-09-30,328.0
1942-10-31,474.0
1942-11-30,603.0
1942-12-31,663.0
1943-01-31,479.0
1943-02-28,696.0
1943-03-31,561.0
1943-04-30,639.0
1943-05-31,372.0
1943-06-30,346.0
1943-07-31,284.0
1943-08-31,222.0
1943-09-30,230.0
1943-10-31,247.0
1943-11-30,233.0
1943-12-31,282.0
1944-01-31,553.0
1944-02-29,868.0
1944-03-31,756.0
1944-04-30,1761.0
1944-05-31,610.0
1944-06-30,608.0
1944-07-31,498.0
1944-08-31,519.0
1944-09-30,271.0
1944-10-31,319.0
1944-11-30,565.0
1944-12-31,890.0
1945-01-31,392.0
1945-02-28,1048.0
1945-03-31,1330.0
1945-04-30,778.0
1945-05-31,637.0
1945-06-30,502.0
1945-07-31,460.0
1945-08-31,532.0
1945-09-30,396.0
1945-10-31,454.0
1945-11-30,474.0
1945-12-31,579.0
1946-01-31,658.0
1946-02-28,1719.0
1946-03-31,1592.0
1946-04-30,952.0
1946-05-31,480.0
1946-06-30,532.0
1946-07-31,499.0
1946-08-31,373.0
1946-09-30,401.0
1946-10-31,451.0
1946-11-30,474.0
1946-12-31,420.0
1947-01-31,286.0
1947-02-28,247.0
1947-03-31,1625.0
1947-04-30,1590.0
1947-05-31,523.0
1947-06-30,312.0
1947-07-31,261.0
1947-08-31,182.0
1947-09-30,144.0
1947-10-31,153.0
1947-11-30,250.0
1947-12-31,449.0
1948-01-31,1809.0
1948-02-29,1927.0
1948-03-31,1332.0
1948-04-30,786.0
1948-05-31,420.0
1948-06-30,292.0
1948-07-31,405.0
1948-08-31,500.0
1948-09-30,449.0
1948-10-31,304.0
1948-11-30,332.0
1948-12-31,301.0
